session_id,brain_structure x,brain_structure y,y_feature,r_squ,pseudo_session,loo_trial_idx
766640955,LGd,VISp,exponent,-1.5572685927214298,,
766640955,LGd,VISp,exponent,-1.5820827335034098,,
766640955,LGd,VISp,exponent,-1.5771728590353642,,
766640955,LGd,VISp,exponent,-1.565113637048488,,
766640955,LGd,VISp,exponent,-1.5745722362592738,,
766640955,LGd,VISp,exponent,-1.578265630417393,,
766640955,LGd,VISp,exponent,-1.555083560783443,,
766640955,LGd,VISp,exponent,-1.5598015052729153,,
766640955,LGd,VISp,exponent,-1.5720852270970536,,
766640955,LGd,VISp,exponent,-1.5577330340473634,,
766640955,LGd,VISp,exponent,-1.5660927983567197,,
766640955,LGd,VISp,exponent,-1.5710704131137723,,
766640955,LGd,VISp,exponent,-1.5804097251445097,,
766640955,LGd,VISp,exponent,-1.5565774098808483,,
766640955,LGd,VISp,exponent,-1.551184665468413,,
766640955,LGd,VISp,exponent,-1.5584500175831293,,
766640955,LGd,VISp,exponent,-1.577732642144745,,
766640955,LGd,VISp,exponent,-1.5636588029872889,,
766640955,LGd,VISp,exponent,-1.5877711091304838,,
766640955,LGd,VISp,exponent,-1.5603058305768527,,
766640955,LGd,VISp,exponent,-1.5974309618644305,,
766640955,LGd,VISp,exponent,-1.5791146815617476,,
766640955,LGd,VISp,periodic_pow,-0.015135542511540478,,
766640955,LGd,VISp,periodic_pow,-0.019579036530451566,,
766640955,LGd,VISp,periodic_pow,-0.018790576732963915,,
766640955,LGd,VISp,periodic_pow,-0.017226013617047453,,
766640955,LGd,VISp,periodic_pow,-0.01588707799361666,,
766640955,LGd,VISp,periodic_pow,-0.0175907376827229,,
766640955,LGd,VISp,periodic_pow,-0.01750344433480766,,
766640955,LGd,VISp,periodic_pow,-0.017167781602005494,,
766640955,LGd,VISp,periodic_pow,-0.01928073310795697,,
766640955,LGd,VISp,periodic_pow,-0.016792938151902526,,
766640955,LGd,VISp,periodic_pow,-0.017116069970326775,,
766640955,LGd,VISp,periodic_pow,-0.016369909242909708,,
766640955,LGd,VISp,periodic_pow,-0.017211806283553566,,
766640955,LGd,VISp,periodic_pow,-0.017689734031175464,,
766640955,LGd,VISp,periodic_pow,-0.018005564189210954,,
766640955,LGd,VISp,periodic_pow,-0.018737378749573486,,
766640955,LGd,VISp,periodic_pow,-0.01518171794757861,,
766640955,LGd,VISp,periodic_pow,-0.014868839929975675,,
766640955,LGd,VISp,periodic_pow,-0.016963244783374964,,
766640955,LGd,VISp,periodic_pow,-0.01607659916533355,,
766640955,LGd,VISp,periodic_pow,-0.013455402047169995,,
766640955,LGd,VISp,periodic_pow,-0.016195958223374385,,
766640955,LGd,VISp,periodic_pow,-0.015957274622804052,,
766640955,LGd,VISp,periodic_pow,-0.015918631712450892,,
766640955,LGd,VISp,periodic_pow,-0.01489234727404476,,
766640955,LGd,VISp,periodic_pow,-0.016797406763938927,,
766640955,LGd,VISp,periodic_pow,-0.017133831445693692,,
766640955,LGd,VISp,periodic_pow,-0.013091927585971996,,
766640955,LGd,VISp,periodic_pow,-0.014599852952881465,,
766640955,LGd,VISp,periodic_pow,-0.016313579092555486,,
766640955,LGd,VISp,periodic_pow,-0.01484350740691931,,
766640955,LGd,VISp,periodic_pow,-0.013249133127196666,,
766640955,LGd,VISp,periodic_pow,-0.016032189347859882,,
766640955,LGd,VISp,periodic_pow,-0.012505445883209898,,
766640955,LGd,VISp,periodic_pow,-0.01226985048837026,,
766640955,LGd,VISp,periodic_pow,-0.016812094266027255,,
766640955,LGd,VISp,periodic_pow,-0.015414817361214972,,
766640955,LGd,VISp,periodic_pow,-0.01414813776424606,,
766640955,LGd,VISp,periodic_pow,-0.016937151921981197,,
766640955,LGd,VISp,periodic_pow,-0.014510992591179273,,
766640955,LGd,VISp,periodic_pow,-0.01752933518895028,,
766640955,LGd,VISp,periodic_pow,-0.014115769877073525,,
766640955,LGd,VISp,periodic_pow,-0.015938678700374576,,
766640955,LGd,VISp,periodic_pow,-0.01722870749418326,,
766640955,LGd,VISp,periodic_pow,-0.01449142058733166,,
766640955,LGd,VISp,periodic_pow,-0.01100010970191101,,
766640955,LGd,VISp,periodic_pow,-0.0167537863538767,,
766640955,LGd,VISp,periodic_pow,-0.014723488597496504,,
766640955,LGd,VISp,periodic_pow,-0.013991263404333543,,
766640955,LGd,VISp,periodic_pow,-0.015908248560483118,,
766640955,LGd,VISp,periodic_pow,-0.012193580477753319,,
766640955,LGd,VISp,periodic_pow,-0.014209288506929818,,
766640955,LGd,VISp,periodic_pow,-0.012333535109140925,,
766640955,LGd,VISp,periodic_pow,-0.011441553855107367,,
766640955,LGd,VISp,periodic_pow,-0.014739735725614933,,
766640955,LGd,VISp,periodic_pow,-0.015439479926780297,,
766640955,LGd,VISp,periodic_pow,-0.012559783285913007,,
766640955,LGd,VISp,periodic_pow,-0.022092306499841508,,
766640955,LGd,VISp,periodic_pow,-0.015540855583640045,,
766640955,LGd,VISp,periodic_pow,-0.01493062037819537,,
766640955,LGd,VISp,periodic_pow,-0.05550757297865161,,
766640955,LGd,VISp,periodic_pow,-0.05580139203550383,,
766640955,LGd,VISp,periodic_pow,-0.05566696750348754,,
766640955,LGd,VISp,periodic_pow,-0.053776659575535346,,
766640955,LGd,VISp,periodic_pow,-0.06895408148880033,,
766640955,LGd,VISp,periodic_pow,-0.07212951071787166,,
