session_id,brain_structure x,brain_structure y,y_feature,r_squ,pseudo_session,loo_trial_idx
766640955,LGd,VISp,exponent,0.0011181680863880938,768515987,0
766640955,LGd,VISp,exponent,0.0011927948816686795,768515987,1
766640955,LGd,VISp,exponent,0.0010096222542544941,768515987,2
766640955,LGd,VISp,exponent,0.0010827952811089947,768515987,3
766640955,LGd,VISp,exponent,0.0011073122691779291,768515987,4
766640955,LGd,VISp,exponent,0.0011804284457237468,768515987,5
766640955,LGd,VISp,exponent,0.0012359259363101671,768515987,6
766640955,LGd,VISp,exponent,0.0010056874237295288,768515987,7
766640955,LGd,VISp,exponent,0.0011081114354896116,768515987,8
766640955,LGd,VISp,exponent,0.001168997127744431,768515987,9
766640955,LGd,VISp,exponent,0.001005708537542116,768515987,10
766640955,LGd,VISp,exponent,0.0011087410050200086,768515987,11
766640955,LGd,VISp,exponent,0.001224028900435714,768515987,12
766640955,LGd,VISp,exponent,0.0010889302799518275,768515987,13
766640955,LGd,VISp,exponent,0.0012332435014458243,768515987,14
766640955,LGd,VISp,exponent,0.0011021426834386672,768515987,15
766640955,LGd,VISp,exponent,0.0008963677115190194,768515987,16
766640955,LGd,VISp,exponent,0.0011351426285387545,768515987,17
766640955,LGd,VISp,exponent,0.0011127329913981354,768515987,18
766640955,LGd,VISp,exponent,0.001577391767041414,768515987,19
766640955,LGd,VISp,exponent,0.001012700729711602,768515987,20
766640955,LGd,VISp,exponent,0.0012396292202171422,768515987,21
766640955,LGd,VISp,exponent,0.00148011298985673,768515987,22
766640955,LGd,VISp,exponent,0.001290852828174871,768515987,23
766640955,LGd,VISp,exponent,0.001153343815699981,768515987,24
766640955,LGd,VISp,exponent,0.0011018070337990293,768515987,25
766640955,LGd,VISp,exponent,0.0012187607742166762,768515987,26
766640955,LGd,VISp,exponent,0.0010329323917075417,768515987,27
766640955,LGd,VISp,exponent,0.001170237446260658,768515987,28
766640955,LGd,VISp,exponent,0.0011504549615306559,768515987,29
766640955,LGd,VISp,exponent,0.0006443188875645545,768515987,30
766640955,LGd,VISp,exponent,0.0011765970378865287,768515987,31
766640955,LGd,VISp,exponent,0.0011074800550520125,768515987,32
766640955,LGd,VISp,exponent,0.0011833434798732556,768515987,33
766640955,LGd,VISp,exponent,0.001154821103684922,768515987,34
766640955,LGd,VISp,exponent,0.0011864802424844667,768515987,35
766640955,LGd,VISp,exponent,0.0011318806534668102,768515987,36
766640955,LGd,VISp,exponent,0.0010212742782851336,768515987,37
766640955,LGd,VISp,exponent,0.0010849485746148302,768515987,38
766640955,LGd,VISp,exponent,0.0012804339117903352,768515987,39
766640955,LGd,VISp,exponent,0.0009621795517014142,768515987,40
766640955,LGd,VISp,exponent,0.0011597759082280223,768515987,41
766640955,LGd,VISp,exponent,0.0010576403572459814,768515987,42
766640955,LGd,VISp,exponent,0.0010210392616976094,768515987,43
766640955,LGd,VISp,exponent,0.0010150216242772458,768515987,44
766640955,LGd,VISp,exponent,0.0010450421566177148,768515987,45
766640955,LGd,VISp,exponent,0.0012071923155834163,768515987,46
766640955,LGd,VISp,exponent,0.0008808177583748966,768515987,47
766640955,LGd,VISp,exponent,0.0013290295238971295,768515987,48
766640955,LGd,VISp,exponent,0.0012147224930614264,768515987,49
766640955,LGd,VISp,exponent,0.0009981796953734134,768515987,50
766640955,LGd,VISp,exponent,0.0011464011504744853,768515987,51
766640955,LGd,VISp,exponent,0.0016656659561936626,768515987,52
766640955,LGd,VISp,exponent,0.0010854233255302992,768515987,53
766640955,LGd,VISp,exponent,0.0012205991651200732,768515987,54
766640955,LGd,VISp,exponent,0.0006345979491667597,768515987,55
766640955,LGd,VISp,exponent,0.0020269471898658464,768515987,56
766640955,LGd,VISp,exponent,0.001383372575254671,768515987,57
766640955,LGd,VISp,exponent,0.0009226182180499531,768515987,58
766640955,LGd,VISp,exponent,0.001073481708912416,768515987,59
766640955,LGd,VISp,exponent,0.0035046710385119306,835479236,0
766640955,LGd,VISp,exponent,0.0036876441449688047,835479236,1
766640955,LGd,VISp,exponent,0.0031944734949543863,835479236,2
766640955,LGd,VISp,exponent,0.0036560819556298307,835479236,3
766640955,LGd,VISp,exponent,0.003605738462948649,835479236,4
766640955,LGd,VISp,exponent,0.0031891805754744595,835479236,5
766640955,LGd,VISp,exponent,0.003380447769910311,835479236,6
766640955,LGd,VISp,exponent,0.0033949419775165524,835479236,7
766640955,LGd,VISp,exponent,0.003305991305882827,835479236,8
766640955,LGd,VISp,exponent,0.0032053004677107255,835479236,9
766640955,LGd,VISp,exponent,0.0034058415726309077,835479236,10
766640955,LGd,VISp,exponent,0.00330453013430565,835479236,11
766640955,LGd,VISp,exponent,0.003816954291907093,835479236,12
766640955,LGd,VISp,exponent,0.003507444746922439,835479236,13
766640955,LGd,VISp,exponent,0.003596888188671432,835479236,14
766640955,LGd,VISp,exponent,0.0032847164208112956,835479236,15
766640955,LGd,VISp,exponent,0.0034177623656200806,835479236,16
766640955,LGd,VISp,exponent,0.0035345910115219814,835479236,17
766640955,LGd,VISp,exponent,0.0034603854897656827,835479236,18
766640955,LGd,VISp,exponent,0.0035003281502381522,835479236,19
766640955,LGd,VISp,exponent,0.003393655103813842,835479236,20
766640955,LGd,VISp,exponent,0.0033815251947948433,835479236,21
766640955,LGd,VISp,exponent,0.0038283180693640118,835479236,22
766640955,LGd,VISp,exponent,0.0031611266628149837,835479236,23
766640955,LGd,VISp,exponent,0.003547789681204394,835479236,24
766640955,LGd,VISp,exponent,0.003181988618399245,835479236,25
