session_id,brain_structure x,brain_structure y,y_feature,r_squ,coef_spike_count,coef_burst_count,coef_proportion_bursting,coef_exponent,coef_periodic_pow,coef_mean_velocity
766640955,LGd,VISp,exponent,0.039339863034673184,-0.008816971708211087,0.0007387718810116651,0.009268214038763723,0.12029515076765472,-0.008867488365848863,0.012456682049216617
766640955,LGd,VISp,periodic_pow,0.03547683370950705,-0.010670791884339722,-0.013477279922808429,0.013072239412130947,0.0023364228514276956,0.04516252242668296,0.008377759418591443
766640955,VISl,VISp,exponent,0.1322030020322742,-0.021728890108136292,-0.0024061316186485874,-0.0024061316186485726,0.21664756147787015,-0.01241742401661599,0.022110347129890576
766640955,VISl,VISp,periodic_pow,0.12629832736458269,-0.011866116097578804,0.00369355363556617,0.0036935536355661505,0.008587563980143036,0.08488905483172612,0.007903553515771957
766640955,LGd,VISl,exponent,0.11010337114272206,-0.014510010946519006,0.010723820010508601,-0.018310173776575817,0.12648108657074808,0.022175649527895164,0.0002738291634339783
766640955,LGd,VISl,periodic_pow,0.06536498469585816,-0.0062336362927505225,0.10038490833518024,-0.09923261359952086,-0.021917809450703808,0.06656116158667784,0.006052887805682171
766640955,VISp,VISl,exponent,0.1327882506930016,-0.008707998077438148,0.021599040566066884,-0.006075235784184095,0.14909957072377994,-5.274388328037202e-05,-0.004194164628391186
766640955,VISp,VISl,periodic_pow,0.13064149745867615,-0.0054333009428526036,-0.0379519688630654,0.0503920414278466,-0.01312365216315555,0.08960985065874666,0.00418582806090314
768515987,LGd,VISp,exponent,0.01482941703453422,-0.007467244682598671,-0.017995228873175867,0.020794810204110826,0.07041797084425694,-0.020085607217507625,-0.005987767881592931
768515987,LGd,VISp,periodic_pow,0.0574128785028839,0.01062361447017748,0.013888996039153821,-0.013569017976616499,-0.013210427193701446,0.061353196556157646,0.011880474461288504
768515987,VISl,VISp,exponent,0.1756790401634193,0.020951007949010406,-0.01084913437903476,0.0037114422332912055,0.21901651140392023,-0.005543094271463728,-0.008251125723255108
768515987,VISl,VISp,periodic_pow,0.11371610967627943,-0.004210977214506077,0.005706126489541475,-0.010498942256632476,0.007682598068472532,0.07871280983368835,0.020039895616743932
768515987,LGd,VISl,exponent,0.11343113569144636,-0.012207792005426422,-0.05612747298929281,0.05820050178039235,0.17898351951700667,-0.005675832088856498,-0.0202857344010518
768515987,LGd,VISl,periodic_pow,0.18967261148632797,0.0002988343343395955,-0.018450932612078735,0.010673963461163711,-0.014900969238162509,0.11251063256126981,-0.006411303788457484
768515987,VISp,VISl,exponent,0.17851886871781075,0.022089159644051202,0.015460737441741531,-0.033361883472617745,0.2217883437073883,-0.007339507480794181,-0.034805953716776736
768515987,VISp,VISl,periodic_pow,0.10882731628138287,0.0018871055024285675,0.008945779552000464,-0.00971131510256829,0.000620291484316489,0.08028020409665082,-0.013114830283896126
835479236,LGd,VISp,exponent,0.1701361196964254,0.025039100453633903,0.08724435499199439,-0.0976966686458632,0.10485053389442205,-0.16760517969593078,-0.007631102193510498
835479236,LGd,VISp,periodic_pow,0.2015824505840944,0.002517192027947611,0.022997113881050545,-0.025278569432182412,-0.013655092453037233,0.09550062060821302,0.002102058771969135
835479236,VISl,VISp,exponent,0.1612148152315389,0.0038922127974653706,-0.034864952009997986,0.0165344906859709,0.14568137681740687,-0.08546107446309063,0.014932698584638695
835479236,VISl,VISp,periodic_pow,0.22053394193089126,0.006103857896608195,0.015811205963062503,-0.017793110480117103,0.002962906477964549,0.09463961513166086,-0.004916290443242263
835479236,LGd,VISl,exponent,0.1006185621816078,0.01911647834333897,-0.0943927085995016,0.08948342447750306,0.20686479705843513,-0.0869167235275179,0.025600000386751462
835479236,LGd,VISl,periodic_pow,0.4073898939837628,0.010888557076608893,-0.03051657649226167,0.033414794425769716,-0.0474892313417822,0.18824016557328746,-0.005805445315855138
835479236,VISp,VISl,exponent,0.12113961206669599,-0.005042457769937475,-0.03945841705283812,0.04843782973479159,0.21639160951998965,0.03232668609480202,0.04966216208601428
835479236,VISp,VISl,periodic_pow,0.26472967328368846,0.0013067000517789727,-0.026666099118323423,0.014754034306594735,-0.052093145304514185,0.13074791716593895,-0.029326823242491903
