session_id,brain_structure x,brain_structure y,y_feature,r_squ,coef_spike_count,coef_burst_count,coef_proportion_bursting,coef_exponent,coef_periodic_pow,coef_mean_velocity,p_value,p_corr,significant
766640955,LGd,VISp,exponent,0.0393398630346731,-0.008816971708211,0.0007387718810116,0.0092682140387637,0.1202951507676547,-0.0088674883658488,0.0124566820492166,0.0,0.0,True
766640955,LGd,VISp,periodic_pow,0.035476833709507,-0.0106707918843397,-0.0134772799228084,0.0130722394121309,0.0023364228514276,0.0451625224266829,0.0083777594185914,0.0,0.0,True
766640955,LGd,VISl,exponent,0.110103371142722,-0.014510010946519,0.0107238200105086,-0.0183101737765758,0.126481086570748,0.0221756495278951,0.0002738291634339,0.0,0.0,True
766640955,LGd,VISl,periodic_pow,0.0653649846958581,-0.0062336362927505,0.1003849083351802,-0.0992326135995208,-0.0219178094507038,0.0665611615866778,0.0060528878056821,0.5,1.0,False
766640955,VISp,VISl,exponent,0.1327882506930016,-0.0087079980774381,0.0215990405660668,-0.006075235784184,0.1490995707237799,-5.274388328037202e-05,-0.0041941646283911,0.0,0.0,True
766640955,VISp,VISl,periodic_pow,0.1306414974586761,-0.0054333009428526,-0.0379519688630654,0.0503920414278466,-0.0131236521631555,0.0896098506587466,0.0041858280609031,0.0,0.0,True
768515987,LGd,VISp,exponent,0.0148294170345342,-0.0074672446825986,-0.0179952288731758,0.0207948102041108,0.0704179708442569,-0.0200856072175076,-0.0059877678815929,0.5,1.0,False
768515987,LGd,VISp,periodic_pow,0.0574128785028839,0.0106236144701774,0.0138889960391538,-0.0135690179766164,-0.0132104271937014,0.0613531965561576,0.0118804744612885,0.5,1.0,False
768515987,LGd,VISl,exponent,0.1134311356914463,-0.0122077920054264,-0.0561274729892928,0.0582005017803923,0.1789835195170066,-0.0056758320888564,-0.0202857344010518,0.0,0.0,True
768515987,LGd,VISl,periodic_pow,0.1896726114863279,0.0002988343343395,-0.0184509326120787,0.0106739634611637,-0.0149009692381625,0.1125106325612698,-0.0064113037884574,0.5,1.0,False
768515987,VISp,VISl,exponent,0.1785188687178107,0.0220891596440512,0.0154607374417415,-0.0333618834726177,0.2217883437073883,-0.0073395074807941,-0.0348059537167767,0.0,0.0,True
768515987,VISp,VISl,periodic_pow,0.1088273162813828,0.0018871055024285,0.0089457795520004,-0.0097113151025682,0.0006202914843164,0.0802802040966508,-0.0131148302838961,0.48333333333333334,1.0,False
835479236,LGd,VISp,exponent,0.1701361196964254,0.0250391004536339,0.0872443549919943,-0.0976966686458632,0.104850533894422,-0.1676051796959307,-0.0076311021935104,0.0,0.0,True
835479236,LGd,VISp,periodic_pow,0.2015824505840944,0.0025171920279476,0.0229971138810505,-0.0252785694321824,-0.0136550924530372,0.095500620608213,0.0021020587719691,0.0,0.0,True
835479236,LGd,VISl,exponent,0.1006185621816078,0.0191164783433389,-0.0943927085995016,0.089483424477503,0.2068647970584351,-0.0869167235275179,0.0256000003867514,0.0,0.0,True
835479236,LGd,VISl,periodic_pow,0.4073898939837628,0.0108885570766088,-0.0305165764922616,0.0334147944257697,-0.0474892313417822,0.1882401655732874,-0.0058054453158551,0.0,0.0,True
835479236,VISp,VISl,exponent,0.1211396120666959,-0.0050424577699374,-0.0394584170528381,0.0484378297347915,0.2163916095199896,0.032326686094802,0.0496621620860142,0.0,0.0,True
835479236,VISp,VISl,periodic_pow,0.2647296732836884,0.0013067000517789,-0.0266660991183234,0.0147540343065947,-0.0520931453045141,0.1307479171659389,-0.0293268232424919,0.0,0.0,True
